Id,SalePrice
1461,116171.6
1462,162042.16
1463,183902.25
1464,197895.11
1465,222126.88
1466,174077.03
1467,185634.15
1468,167089.31
1469,209587.57
1470,126099.2
1471,161642.13
1472,108613.54
1473,101848.23
1474,150298.41
1475,102247.13
1476,380620.48
1477,268128.84
1478,326952.86
1479,332521.86
1480,472355.23
1481,316221.77
1482,230282.88
1483,177488.75
1484,170174.07
1485,203124.27
1486,200074.82
1487,340485.92
1488,233913.27
1489,203771.45
1490,252720.39
1491,207430.78
1492,109691.3
1493,215445.29
1494,296629.03
1495,283682.91
1496,245652.44
1497,167276.14
1498,179478.99
1499,170084.13
1500,158663.69
1501,193645.1
1502,146135.76
1503,305913.34
1504,243512.44
1505,228901.43
1506,196810.77
1507,242485.38
1508,193704.69
1509,160800.5
1510,154340.47
1511,158139.05
1512,174479.54
1513,152363.21
1514,162081.17
1515,199938.77
1516,164353.01
1517,189246.12
1518,129299.68
1519,221957.83
1520,131647.47
1521,132398.77
1522,191956.56
1523,110939.19
1524,127302.99
1525,119072.1
1526,113109.81
1527,112199.19
1528,143969.63
1529,163388.63
1530,223986.47
1531,158770.02
1532,94078.91
1533,155820.64
1534,122507.32
1535,142913.21
1536,103668.35
1537,54122.42
1538,165348.84
1539,196616.87
1540,135356.77
1541,133404.15
1542,149348.66
1543,183736.86
1544,89526.26
1545,128302.59
1546,151096.95
1547,148187.45
1548,147766.38
1549,136024.54
1550,154905.66
1551,112190.66
1552,164725.43
1553,148657.36
1554,119995.56
1555,155944.62
1556,91379.35
1557,105212.62
1558,112515.02
1559,81078.57
1560,139946.1
1561,109164.35
1562,139128.14
1563,131784.41
1564,152869.76
1565,160949.01
1566,236377.34
1567,82240.21
1568,237989.39
1569,140907.2
1570,144001.04
1571,103272.25
1572,147237.72
1573,245359.85
1574,142815.2
1575,259520.27
1576,234204.68
1577,194311.35
1578,160327.78
1579,158688.56
1580,193607.89
1581,164253.62
1582,142966.93
1583,269646.55
1584,224427.67
1585,141992.98
1586,96863.59
1587,120542.97
1588,168986.83
1589,106049.02
1590,124374.81
1591,98287.32
1592,139754.91
1593,144551.57
1594,161794.45
1595,110757.22
1596,227215.55
1597,217031.99
1598,213890.52
1599,201068.17
1600,187984.98
1601,51953.69
1602,133320.84
1603,76371.5
1604,288547.92
1605,232297.1
1606,165647.5
1607,154527.96
1608,223777.46
1609,193670.83
1610,163213.16
1611,141456.19
1612,184065.91
1613,166801.06
1614,149699.61
1615,90059.63
1616,67033.74
1617,89728.44
1618,133041.62
1619,160856.17
1620,183201.22
1621,127269.32
1622,160921.84
1623,264600.45
1624,207281.99
1625,117057.26
1626,178611.18
1627,188175.83
1628,279931.01
1629,191405.27
1630,339408.11
1631,256454.81
1632,249818.49
1633,198622.91
1634,196239.96
1635,183206.8
1636,156430.71
1637,196596.57
1638,184246.93
1639,183346.68
1640,232301.72
1641,180134.56
1642,259905.23
1643,219441.39
1644,239204.28
1645,208056.02
1646,172849.15
1647,165471.13
1648,131674.96
1649,138524.04
1650,124944.01
1651,125405.75
1652,108190.98
1653,105853.55
1654,149475.05
1655,125624.99
1656,148064.27
1657,160908.26
1658,162535.38
1659,125514.67
1660,159614.88
1661,419958.68
1662,374134.69
1663,385413.08
1664,464258.24
1665,344653.26
1666,325675.18
1667,360150.33
1668,379942.76
1669,337175.14
1670,369889.97
1671,277619.02
1672,394865.4
1673,306464.65
1674,261688.32
1675,215590.72
1676,217326.46
1677,227830.58
1678,458368.36
1679,389627.73
1680,343105.86
1681,297164.95
1682,336291.17
1683,208416.15
1684,184887.96
1685,184441.48
1686,168933.22
1687,186592.85
1688,194582.57
1689,200669.27
1690,206511.28
1691,200427.44
1692,262001.6
1693,189212.55
1694,190172.32
1695,177002.72
1696,264390.59
1697,182593.08
1698,330736.1
1699,333400.75
1700,277550.27
1701,281260.67
1702,222309.23
1703,222705.41
1704,261646.42
1705,262676.77
1706,280483.25
1707,229530.86
1708,212262.36
1709,250070.83
1710,229880.08
1711,285410.18
1712,255048.51
1713,280775.79
1714,217442.21
1715,214505.2
1716,184360.59
1717,192595.53
1718,138856.0
1719,236233.53
1720,228421.3
1721,157048.23
1722,109297.61
1723,155671.38
1724,219179.38
1725,250695.37
1726,195499.15
1727,147668.39
1728,174027.52
1729,183698.84
1730,181060.43
1731,122260.66
1732,136554.22
1733,111066.09
1734,126421.88
1735,113863.93
1736,103146.68
1737,286092.94
1738,277920.23
1739,244565.23
1740,215687.48
1741,191254.15
1742,176408.43
1743,179293.67
1744,362591.55
1745,233385.35
1746,200726.91
1747,215418.1
1748,222578.95
1749,150356.53
1750,126033.84
1751,230280.46
1752,112943.09
1753,159427.14
1754,199358.61
1755,173204.94
1756,152670.22
1757,125854.77
1758,154977.39
1759,159898.38
1760,173223.06
1761,151889.14
1762,189168.92
1763,196347.59
1764,126657.58
1765,186413.11
1766,194608.0
1767,217363.77
1768,146291.0
1769,165017.37
1770,173467.94
1771,131791.99
1772,135150.2
1773,117216.37
1774,154028.35
1775,162020.62
1776,148738.88
1777,115059.38
1778,162597.21
1779,161555.25
1780,174902.92
1781,131924.97
1782,77990.9
1783,150483.49
1784,111851.29
1785,143311.6
1786,152469.78
1787,162314.56
1788,47456.36
1789,105990.71
1790,77934.03
1791,206323.89
1792,163085.21
1793,125152.52
1794,185884.04
1795,136824.18
1796,158366.31
1797,128306.1
1798,142288.76
1799,109529.96
1800,140106.34
1801,127207.52
1802,134046.68
1803,160327.33
1804,128986.57
1805,140217.49
1806,116067.04
1807,158409.44
1808,125373.96
1809,134772.58
1810,143817.65
1811,103665.78
1812,99687.65
1813,140495.24
1814,110388.67
1815,73590.31
1816,106667.98
1817,125341.9
1818,175433.35
1819,145970.61
1820,43452.98
1821,101867.64
1822,161103.22
1823,49110.35
1824,143564.5
1825,161489.52
1826,114467.3
1827,116732.34
1828,142721.89
1829,151012.11
1830,143357.42
1831,155264.86
1832,66944.78
1833,156227.67
1834,123732.64
1835,113805.59
1836,112990.89
1837,85360.62
1838,118903.55
1839,117948.91
1840,160419.91
1841,139220.53
1842,89588.64
1843,140507.74
1844,174204.3
1845,157895.44
1846,158695.6
1847,173861.79
1848,68984.82
1849,140173.63
1850,123888.64
1851,140717.07
1852,122477.57
1853,128723.45
1854,168787.32
1855,172426.83
1856,236051.06
1857,150965.21
1858,166184.63
1859,144215.49
1860,158231.07
1861,144662.49
1862,316283.06
1863,305101.31
1864,305107.95
1865,366178.78
1866,349192.97
1867,217278.28
1868,280046.55
1869,211503.95
1870,220295.56
1871,279016.31
1872,183733.88
1873,253533.95
1874,145278.85
1875,176783.07
1876,201510.82
1877,203310.66
1878,202392.73
1879,144127.8
1880,133388.51
1881,236722.75
1882,231562.67
1883,180077.27
1884,196923.94
1885,220730.99
1886,282745.82
1887,223777.65
1888,251414.63
1889,179328.25
1890,89185.63
1891,143875.59
1892,105467.61
1893,123168.38
1894,122401.65
1895,130558.88
1896,123662.0
1897,128583.54
1898,98467.84
1899,181706.47
1900,174401.76
1901,206143.9
1902,175428.69
1903,244715.85
1904,169314.94
1905,206523.11
1906,165304.99
1907,223606.64
1908,112681.55
1909,142362.63
1910,122871.47
1911,239489.34
1912,311214.24
1913,172480.12
1914,69455.25
1915,355120.4
1916,73412.85
1917,229031.38
1918,141367.49
1919,156071.24
1920,152680.57
1921,375087.06
1922,346796.99
1923,242246.85
1924,231746.48
1925,211172.06
1926,377641.47
1927,130051.56
1928,177045.95
1929,117716.81
1930,131313.41
1931,127333.64
1932,123187.12
1933,213591.19
1934,183870.38
1935,179844.68
1936,210642.57
1937,180991.6
1938,179233.87
1939,277555.71
1940,218109.85
1941,165388.31
1942,163988.38
1943,265708.08
1944,408428.8
1945,429191.82
1946,147387.99
1947,241216.09
1948,162911.46
1949,249169.32
1950,203837.2
1951,246522.01
1952,207766.18
1953,186104.71
1954,178348.89
1955,141647.56
1956,266417.85
1957,157785.36
1958,248777.87
1959,146369.68
1960,98661.62
1961,139469.68
1962,100038.36
1963,113479.24
1964,112860.79
1965,141972.22
1966,143454.17
1967,324593.4
1968,405725.46
1969,400968.88
1970,401315.86
1971,443361.68
1972,372262.22
1973,325212.52
1974,357387.07
1975,463436.17
1976,292431.09
1977,359483.97
1978,346446.31
1979,332424.48
1980,199217.08
1981,354121.57
1982,232719.9
1983,224185.01
1984,184097.81
1985,229992.03
1986,203807.78
1987,219133.37
1988,183310.35
1989,198273.24
1990,216064.54
1991,241955.85
1992,226270.54
1993,174383.51
